player_id,player_name,format,matches,innings_batted,runs,balls_faced,fours,sixes,times_out,innings_bowled,balls_bowled,runs_conceded,wickets,maidens,catches,run_outs,stumpings,player_of_match_count,batting_avg,strike_rate,bowling_avg,economy
004c9e85,PJ Hughes,ODI,25,24,826,1118,91,5,23,0,0,0,0,0,5,1,0,2,35.91304347826087,73.8819320214669,,
008589a4,CM Wright,ODI,7,6,81,145,4,1,5,7,306,228,8,9,1,0,0,0,16.2,55.86206896551724,28.5,4.470588235294118
00d69fa4,SO Tikolo,ODI,39,38,705,1097,75,6,35,26,1069,902,26,6,16,0,0,0,20.142857142857142,64.26618049225159,34.69230769230769,5.062675397567821
00ea847a,MA Agarwal,ODI,5,5,86,91,12,1,5,1,6,10,0,0,2,0,0,0,17.2,94.5054945054945,,10.0
00ea9791,HP Tillakaratne,ODI,16,13,332,562,28,0,11,0,0,0,0,0,10,0,0,0,30.181818181818183,59.07473309608541,,
012829ff,JW Hastings,ODI,29,18,271,281,29,8,10,29,1486,1256,42,8,5,1,0,1,27.1,96.44128113879003,29.904761904761905,5.071332436069986
0164b064,MG Neser,ODI,4,4,11,29,0,0,4,4,220,239,3,2,1,0,0,0,2.75,37.93103448275862,79.66666666666667,6.5181818181818185
016e5101,M Shezi,ODI,1,0,0,0,0,0,0,1,36,8,1,2,0,0,0,0,,,8.0,1.3333333333333333
017faef2,Z Groenewald,ODI,3,2,4,19,0,0,1,3,150,110,6,2,1,0,0,0,4.0,21.052631578947366,18.333333333333332,4.4
0184dc35,R Dravid,ODI,127,118,3723,5220,348,17,98,0,0,0,0,0,76,4,5,5,37.98979591836735,71.32183908045977,,
0226b73a,Imran Haider,ODI,17,12,54,127,2,0,6,17,805,714,28,5,3,1,0,1,9.0,42.51968503937008,25.5,5.321739130434783
023f6b02,Nadeem Ahmed,ODI,17,11,55,132,5,0,9,17,882,647,25,12,7,1,0,0,6.111111111111111,41.66666666666667,25.88,4.401360544217687
024a173d,J Nyumbu,ODI,17,13,45,90,1,1,9,16,796,687,17,3,7,2,0,0,5.0,50.0,40.411764705882355,5.178391959798995
024fe464,PD McGlashan,ODI,4,2,63,53,6,1,1,0,0,0,0,0,7,0,0,0,63.0,118.86792452830188,,
02789d88,Shamsur Rahman,ODI,9,9,266,357,23,9,9,1,6,13,0,0,3,0,0,1,29.555555555555557,74.50980392156863,,13.0
02802468,Ali Nadeem,ODI,6,6,134,215,13,3,6,0,0,0,0,0,8,0,0,0,22.333333333333332,62.32558139534884,,
02e83ac5,Naeem Islam,ODI,51,45,842,1246,73,12,31,41,1393,1144,32,6,15,2,0,1,27.161290322580644,67.57624398073835,35.75,4.927494615936827
03252e44,PA Jaques,ODI,5,5,123,170,16,1,5,0,0,0,0,0,2,0,0,0,24.6,72.35294117647058,,
034b4b7d,VRV Singh,ODI,2,1,8,13,1,0,1,2,72,105,0,0,3,0,0,0,8.0,61.53846153846154,,8.75
03521fd3,HM Nicholls,ODI,92,90,2415,3143,227,19,74,0,0,0,0,0,38,5,0,2,32.63513513513514,76.83741648106904,,
035cb925,AG Prince,ODI,42,33,761,1126,50,4,25,1,12,3,0,0,19,5,0,1,30.44,67.58436944937833,,1.5
03806cf8,JR Hazlewood,ODI,94,33,135,169,14,3,9,93,4876,3864,138,64,27,0,0,2,15.0,79.88165680473372,28.0,4.754716981132075
03ce169b,Faisal Athar,ODI,1,1,9,39,1,0,1,0,0,0,0,0,0,0,0,0,9.0,23.076923076923077,,
03d3dd8e,AF Buurman,ODI,3,2,26,34,4,0,2,0,0,0,0,0,5,0,0,0,13.0,76.47058823529412,,
04029c44,Munir Dar,ODI,2,2,18,17,4,0,2,2,108,89,0,1,0,1,0,0,9.0,105.88235294117648,,4.944444444444445
0404d43c,Liton Das,ODI,94,93,2478,2964,256,46,86,0,0,0,0,0,71,3,5,4,28.813953488372093,83.60323886639675,,
047945ae,BO van Rooi,ODI,3,3,26,39,3,0,1,3,120,119,1,0,0,0,0,0,26.0,66.66666666666666,119.0,5.95
047c67ba,Saqlain Mushtaq,ODI,4,4,17,39,2,0,1,4,160,129,4,1,0,0,0,0,17.0,43.58974358974359,32.25,4.8374999999999995
047d9032,JJ Krejza,ODI,8,2,13,25,0,0,1,8,425,331,7,0,2,1,0,0,13.0,52.0,47.285714285714285,4.672941176470588
0480aba6,Enamul Haque jnr,ODI,9,3,8,16,0,0,4,9,515,369,14,2,3,0,0,0,2.0,50.0,26.357142857142858,4.2990291262135925
04a418e8,R Parag,ODI,1,1,15,13,2,0,1,1,54,54,3,0,0,0,0,0,15.0,115.38461538461537,18.0,6.0
04d6d2e6,R Appidi,ODI,1,0,0,0,0,0,0,1,54,75,1,0,0,0,0,0,,,75.0,8.333333333333334
04f4f2e1,Saqib Ali,ODI,2,2,29,53,2,0,2,2,60,57,1,0,0,0,0,0,14.5,54.71698113207547,57.0,5.7
053f3ce3,D Ravu,ODI,16,13,128,193,9,4,9,15,576,496,8,3,1,2,0,0,14.222222222222221,66.32124352331607,62.0,5.166666666666667
0557a636,RT Crandon,ODI,1,1,5,9,1,0,1,0,0,0,0,0,0,0,0,0,5.0,55.55555555555556,,
056f58dd,KC Hodsoll,ODI,1,1,2,6,0,0,0,1,30,28,1,0,0,0,0,0,,33.33333333333333,28.0,5.6
05b1aef8,NG Smith,ODI,21,15,115,176,7,0,11,21,817,859,25,5,12,1,0,0,10.454545454545455,65.3409090909091,34.36,6.308445532435741
05c2ca46,RE van der Merwe,ODI,45,31,334,385,22,8,23,44,2224,1680,53,6,14,2,0,0,14.521739130434783,86.75324675324674,31.69811320754717,4.532374100719424
05d74535,Saeed Ajmal,ODI,108,66,323,539,25,0,46,107,5748,4048,175,49,13,3,0,0,7.021739130434782,59.92578849721707,23.13142857142857,4.225469728601253
05da443b,Adnan Akmal,ODI,5,4,62,92,3,0,3,0,0,0,0,0,3,3,0,0,20.666666666666668,67.3913043478261,,
05de1a5a,GC Wilson,ODI,61,57,1232,1653,105,14,49,0,0,0,0,0,38,0,5,1,25.142857142857142,74.53115547489413,,
05e0fab5,CS Martin,ODI,11,1,2,3,0,0,0,10,510,407,7,10,4,0,0,0,,66.66666666666666,58.142857142857146,4.788235294117647
05f96194,MA Jones,ODI,16,14,385,582,36,3,14,0,0,0,0,0,4,0,0,0,27.5,66.1512027491409,,
0604ef16,SB Bangar,ODI,3,3,8,19,1,0,3,3,66,60,0,0,0,0,0,0,2.6666666666666665,42.10526315789473,,5.454545454545454
0605de92,HD Rutherford,ODI,4,4,15,56,2,0,4,0,0,0,0,0,2,0,0,0,3.75,26.785714285714285,,
068c47d2,JJ Davidson,ODI,8,4,38,34,3,0,0,8,402,403,13,2,3,0,0,0,,111.76470588235294,31.0,6.014925373134329
06a9d298,A Patel,ODI,2,1,25,30,3,0,1,2,60,73,3,0,0,0,0,0,25.0,83.33333333333334,24.333333333333332,7.3
06c2de82,L Gregory,ODI,3,2,117,116,10,3,2,3,114,97,4,1,0,0,0,1,58.5,100.86206896551724,24.25,5.105263157894737
06cad4f0,A Sharafu,ODI,28,26,433,616,43,10,26,1,12,12,0,0,14,2,0,0,16.653846153846153,70.29220779220779,,6.0
06e649a0,RK Whelan,ODI,2,2,5,12,1,0,2,2,90,99,2,0,0,0,0,0,2.5,41.66666666666667,49.5,6.6
0730a707,SI Kamea,ODI,20,14,18,55,2,0,7,19,898,766,28,8,1,0,0,0,2.5714285714285716,32.72727272727273,27.357142857142858,5.11804008908686
074acfb4,Asif Khan,ODI,38,37,1270,1606,103,42,33,0,0,0,0,0,9,0,0,4,38.484848484848484,79.07845579078456,,
075e9f9c,Moniruzzaman,ODI,2,2,1,20,0,0,2,0,0,0,0,0,0,0,0,0,0.5,5.0,,
07687c15,Sultan Ahmed,ODI,2,2,18,44,2,0,2,2,72,58,0,0,0,0,0,0,9.0,40.909090909090914,,4.833333333333333
07793daf,JR Lennox,ODI,10,5,3,24,0,0,2,10,558,393,23,1,0,0,0,2,1.5,12.5,17.08695652173913,4.225806451612903
079d9bdc,BA Westdijk,ODI,3,2,0,3,0,0,2,3,138,173,1,0,0,1,0,0,0.0,0.0,173.0,7.521739130434782
07b6f54c,DDP D'Silva,ODI,6,5,53,123,8,0,4,5,186,118,6,3,1,0,0,0,13.25,43.08943089430895,19.666666666666668,3.806451612903226
07ff32f5,Khurram Nawaz,ODI,3,2,26,49,1,0,1,0,0,0,0,0,1,0,0,0,26.0,53.06122448979592,,
08323d6b,K Whatham,ODI,1,1,18,43,2,0,1,0,0,0,0,0,0,0,0,0,18.0,41.86046511627907,,
083e01d9,Matiullah Khan,ODI,1,0,0,0,0,0,0,1,30,37,1,0,0,0,0,0,,,37.0,7.4
08548b13,PHKD Mendis,ODI,28,27,539,685,41,14,21,15,300,326,6,0,11,1,0,0,25.666666666666668,78.68613138686132,54.333333333333336,6.52
086f5984,Junaid Khan,ODI,73,23,68,134,4,1,14,73,3475,3135,104,28,6,1,0,0,4.857142857142857,50.74626865671642,30.14423076923077,5.41294964028777
