player_id,player_name,format,matches,innings_batted,runs,balls_faced,fours,sixes,times_out,innings_bowled,balls_bowled,runs_conceded,wickets,maidens,catches,run_outs,stumpings,player_of_match_count,batting_avg,strike_rate,bowling_avg,economy
00029c30,M Mwamadi,T20,6,3,5,11,0,0,0,4,62,76,3,0,0,0,0,0,,45.45454545454545,25.333333333333332,7.354838709677419
00075cb5,MCE Manalo,T20,1,1,12,16,0,0,1,0,0,0,0,0,0,0,0,0,12.0,75.0,,
000803b1,Het Patel,T20,2,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,,11.11111111111111,,
00321fff,Mohammad Ghazanfar,T20,34,13,41,64,3,0,6,32,604,690,34,2,5,0,0,2,6.833333333333333,64.0625,20.294117647058822,6.854304635761589
00467a76,S Bodha,T20,34,12,77,79,7,1,8,34,596,844,37,0,6,0,0,1,9.625,97.46835443037975,22.81081081081081,8.496644295302014
004c9e85,PJ Hughes,T20,1,1,6,8,1,0,1,0,0,0,0,0,0,0,0,0,6.0,75.0,,
007113d7,HAM Shah,T20,39,39,1513,1187,133,59,37,19,327,369,29,1,18,6,0,13,40.891891891891895,127.4641954507161,12.724137931034482,6.770642201834862
00755e00,S Delai,T20,1,1,16,36,3,0,1,0,0,0,0,0,0,0,0,0,16.0,44.44444444444444,,
00757ae7,K Suttisan,T20,6,6,109,86,11,5,6,0,0,0,0,0,4,0,0,0,18.166666666666668,126.74418604651163,,
0079f139,R Gaznavi,T20,23,19,275,303,24,8,18,0,0,0,0,0,3,1,0,1,15.277777777777779,90.75907590759076,,
008589a4,CM Wright,T20,2,1,14,19,0,0,1,2,30,49,4,0,0,0,0,0,14.0,73.68421052631578,12.25,9.8
00863408,MTMMJ Ave,T20,22,22,516,486,44,19,16,14,215,243,13,0,23,2,2,4,32.25,106.17283950617285,18.692307692307693,6.781395348837209
008a024c,M Mooketsi,T20,49,20,57,113,2,0,14,47,1012,1017,57,9,11,2,0,2,4.071428571428571,50.442477876106196,17.842105263157894,6.029644268774704
0095a0e3,Noah Mead,T20,14,5,13,22,1,0,4,13,192,252,10,0,3,0,0,0,3.25,59.09090909090909,25.2,7.875
00c98c78,NH Ekanayake,T20,4,4,30,45,3,1,3,3,59,60,3,0,0,0,0,0,10.0,66.66666666666666,20.0,6.101694915254237
00d69fa4,SO Tikolo,T20,8,8,151,129,18,3,7,5,86,91,10,1,3,0,0,1,21.571428571428573,117.05426356589147,9.1,6.348837209302325
010658fc,Ivan Splicevic,T20,2,2,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,,
01127aa9,J Buchanan,T20,8,2,11,16,0,0,2,8,150,156,6,1,0,0,0,0,5.5,68.75,26.0,6.24
011f6b42,RG Mukasa,T20,47,46,993,827,112,31,42,2,42,40,0,0,25,1,0,2,23.642857142857142,120.07255139056832,,5.714285714285714
012829ff,JW Hastings,T20,9,6,46,38,3,1,4,9,186,247,7,0,1,1,0,0,11.5,121.05263157894737,35.285714285714285,7.967741935483871
014da3d8,Paras Singh,T20,3,0,0,0,0,0,0,3,44,67,2,0,1,0,0,0,,,33.5,9.136363636363637
01549705,J van Heerden,T20,14,13,400,339,47,6,10,6,102,142,7,0,7,0,0,4,40.0,117.99410029498524,20.285714285714285,8.352941176470589
015dc0cd,K Mendon,T20,6,6,121,125,9,3,5,2,36,34,1,1,2,0,0,0,24.2,96.8,34.0,5.666666666666667
01679383,DB Loic,T20,20,19,139,148,11,1,16,19,317,332,18,4,3,1,0,0,8.6875,93.91891891891892,18.444444444444443,6.28391167192429
017faef2,Z Groenewald,T20,10,4,20,36,0,0,3,10,168,163,8,2,3,0,0,0,6.666666666666667,55.55555555555556,20.375,5.821428571428571
0184dc35,R Dravid,T20,1,1,31,21,0,3,1,0,0,0,0,0,0,0,0,0,31.0,147.61904761904762,,
0188fdc0,Yang Wangjie,T20,2,2,19,26,2,0,2,0,0,0,0,0,0,0,0,0,9.5,73.07692307692307,,
018f6488,M Gouws,T20,13,7,82,63,5,5,7,9,158,241,5,0,1,1,0,0,11.714285714285714,130.15873015873015,48.2,9.151898734177216
019d7ef5,Mohamed Turay,T20,16,10,19,31,1,0,4,16,255,254,12,0,3,2,0,0,4.75,61.29032258064516,21.166666666666668,5.976470588235294
019e740a,SE Aquilina,T20,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
019e7a95,GO Sopinho,T20,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,,
01b0d0a4,J Proctor,T20,12,3,5,18,0,0,2,12,209,216,10,1,1,0,0,0,2.5,27.77777777777778,21.6,6.200956937799043
01b45044,Mohammad Amin,T20,5,4,73,76,3,3,3,2,12,18,1,0,1,0,0,0,24.333333333333332,96.05263157894737,18.0,9.0
01c05b6c,RJ Hatchman,T20,19,13,135,99,9,8,12,15,204,415,5,0,2,0,0,0,11.25,136.36363636363635,83.0,12.205882352941176
020e49e9,AD Algar,T20,6,2,40,56,2,1,1,0,0,0,0,0,2,0,0,0,40.0,71.42857142857143,,
020f24d6,NJA Smith,T20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
021ac4dd,H Aggarwal,T20,5,4,37,60,2,0,3,4,84,104,4,0,2,1,0,0,12.333333333333334,61.66666666666667,26.0,7.428571428571429
0226b73a,Imran Haider,T20,9,2,4,8,0,0,0,9,144,201,5,0,1,0,0,0,,50.0,40.2,8.375
023c40b8,Zhao Tianle,T20,6,6,6,30,0,0,6,2,24,55,1,0,2,0,0,0,1.0,20.0,55.0,13.75
023f6b02,Nadeem Ahmed,T20,19,8,32,50,2,0,4,19,381,410,23,2,8,0,0,1,8.0,64.0,17.82608695652174,6.456692913385827
024a173d,J Nyumbu,T20,2,2,7,11,1,0,0,2,36,76,0,0,0,0,0,0,,63.63636363636363,,12.666666666666666
024fe464,PD McGlashan,T20,11,9,61,65,6,2,8,0,0,0,0,0,9,5,0,0,7.625,93.84615384615384,,
026e1314,Ali Yalmaz,T20,10,9,71,62,2,6,8,7,102,158,7,1,3,0,0,0,8.875,114.51612903225808,22.571428571428573,9.294117647058824
027662be,J Evans,T20,8,8,92,96,10,2,8,8,186,218,15,0,1,0,0,0,11.5,95.83333333333334,14.533333333333333,7.032258064516129
02789d88,Shamsur Rahman,T20,9,8,86,86,12,1,8,0,0,0,0,0,2,0,0,0,10.75,100.0,,
02802468,Ali Nadeem,T20,6,6,188,133,15,8,4,0,0,0,0,0,1,0,0,1,47.0,141.35338345864662,,
02888f23,A Donovan,T20,20,18,425,316,30,23,12,11,126,142,3,0,4,4,0,1,35.416666666666664,134.49367088607596,47.333333333333336,6.761904761904762
02b078b1,P Malav,T20,21,8,29,52,2,0,7,21,434,552,24,0,3,3,0,0,4.142857142857143,55.769230769230774,23.0,7.631336405529955
02b87bde,LW Potthoff,T20,2,1,5,10,0,0,0,2,30,33,4,0,1,0,0,0,,50.0,8.25,6.6
02c3024c,F Campbell,T20,7,7,50,76,4,1,7,0,0,0,0,0,0,0,0,0,7.142857142857143,65.78947368421053,,
02d0c9ae,Muhammad Asjed,T20,1,1,7,7,1,0,1,0,0,0,0,0,0,0,0,0,7.0,100.0,,
02d11602,AA Banner,T20,7,5,22,32,4,0,5,3,42,63,1,0,2,0,0,0,4.4,68.75,63.0,9.0
02d59576,R Smith,T20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02e83ac5,Naeem Islam,T20,10,10,130,119,8,7,9,6,90,122,3,0,2,0,0,0,14.444444444444445,109.24369747899159,40.666666666666664,8.133333333333333
02fa5417,R Vishwanath,T20,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,66.66666666666666,,
02fe46ca,Jabran Khan,T20,2,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1.0,25.0,,
032c7eab,Khaibar Deldar,T20,14,12,162,153,17,7,12,5,72,118,3,0,7,1,0,0,13.5,105.88235294117648,39.333333333333336,9.833333333333334
0331c99a,Hassan Mehmood,T20,4,4,23,34,0,1,2,4,73,101,6,1,1,0,0,0,11.5,67.64705882352942,16.833333333333332,8.301369863013699
033ac24e,Shafiq Sharif,T20,12,12,190,161,24,4,11,0,0,0,0,0,2,0,3,0,17.272727272727273,118.01242236024845,,
033e9d59,Arjun Vinod,T20,31,30,630,604,59,15,25,18,204,298,5,1,20,2,0,1,25.2,104.30463576158941,59.6,8.764705882352942
0348f9a5,TH Tector,T20,8,7,121,86,16,4,7,0,0,0,0,0,5,0,0,0,17.285714285714285,140.69767441860466,,
034d3c52,A Husain,T20,16,5,16,27,2,0,1,15,264,295,16,0,2,1,0,0,16.0,59.25925925925925,18.4375,6.704545454545454
03521fd3,HM Nicholls,T20,10,9,100,114,9,0,8,0,0,0,0,0,3,0,0,0,12.5,87.71929824561403,,
035cb925,AG Prince,T20,1,1,5,6,0,0,1,0,0,0,0,0,0,0,0,0,5.0,83.33333333333334,,
036b8660,BKB Corbin,T20,15,14,175,148,18,11,12,0,0,0,0,0,1,1,0,0,14.583333333333334,118.24324324324324,,
036dcf9b,Saber Zakhil,T20,40,33,719,471,41,61,29,21,323,392,16,0,14,1,0,0,24.79310344827586,152.6539278131635,24.5,7.281733746130031
036e7ed1,Jai Tiwari,T20,4,2,38,33,4,2,2,0,0,0,0,0,0,0,0,0,19.0,115.15151515151516,,
0371cc19,K Govind,T20,1,0,0,0,0,0,0,1,18,25,1,0,0,0,0,0,,,25.0,8.333333333333334
03806cf8,JR Hazlewood,T20,58,9,24,23,2,1,3,57,1306,1612,77,5,10,1,0,5,8.0,104.34782608695652,20.935064935064936,7.405819295558959
0393fbdc,A Pusthay,T20,20,20,258,308,23,3,19,7,100,129,7,0,7,2,0,0,13.578947368421053,83.76623376623377,18.428571428571427,7.739999999999999
039cabd9,TS Waqavakatoga,T20,9,5,43,40,2,2,4,9,138,168,5,0,3,0,0,0,10.75,107.5,33.6,7.304347826086956
039f8170,K Takahashi,T20,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2.0,66.66666666666666,,
03a83c50,V Viyaskanth,T20,1,1,0,2,0,0,0,1,24,28,0,0,0,0,0,0,,0.0,,7.0
03adc956,DB Lakhani,T20,10,10,135,129,12,6,9,5,41,55,5,1,1,0,0,0,15.0,104.65116279069768,11.0,8.048780487804878
03b9ec54,E Packard,T20,10,7,89,91,5,4,6,10,203,258,7,0,2,0,0,0,14.833333333333334,97.8021978021978,36.857142857142854,7.625615763546797
03beb59f,Luis Hermida,T20,14,14,199,279,11,0,11,10,174,188,12,0,3,2,0,0,18.09090909090909,71.32616487455196,15.666666666666666,6.482758620689655
03c94c2f,J Grzinic,T20,7,5,21,49,1,0,3,1,1,4,0,0,5,1,0,0,7.0,42.857142857142854,,24.0
03d3dd8e,AF Buurman,T20,2,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,,
03ecfde2,Shoaib Khan,T20,5,4,20,29,1,0,3,0,0,0,0,0,0,0,0,0,6.666666666666667,68.96551724137932,,
03ef382c,ZE Matsinhe,T20,9,3,8,18,0,0,2,5,72,89,1,0,3,1,0,0,4.0,44.44444444444444,89.0,7.416666666666667
04029c44,Munir Dar,T20,1,1,36,27,3,1,1,0,0,0,0,0,1,0,0,0,36.0,133.33333333333331,,
0404d43c,Liton Das,T20,111,109,2467,1976,242,78,105,0,0,0,0,0,71,13,15,6,23.495238095238093,124.84817813765183,,
041db176,B Botcha,T20,5,5,21,51,2,0,5,0,0,0,0,0,1,0,0,0,4.2,41.17647058823529,,
04420914,P Zuze,T20,19,12,71,117,6,0,11,0,0,0,0,0,11,5,0,0,6.454545454545454,60.68376068376068,,
0443414a,Sajedul Islam,T20,1,0,0,0,0,0,0,1,6,15,0,0,1,0,0,0,,,,15.0
04539335,D Wheatley,T20,22,21,146,186,10,4,16,1,12,34,0,0,4,0,0,0,9.125,78.49462365591397,,17.0
04628837,Sagor Hossain,T20,2,2,5,12,0,0,2,0,0,0,0,0,0,0,0,0,2.5,41.66666666666667,,
0467bd8d,Ranjit Singh,T20,8,5,82,59,8,3,5,0,0,0,0,0,8,0,0,1,16.4,138.98305084745763,,
0474fd64,KB Patil,T20,15,15,170,202,11,4,15,1,12,9,0,0,5,1,0,0,11.333333333333334,84.15841584158416,,4.5
04855b85,K Vislapuu,T20,22,7,17,20,3,0,4,18,281,397,12,2,3,0,0,0,4.25,85.0,33.083333333333336,8.476868327402135
04a418e8,R Parag,T20,9,6,106,72,3,9,6,5,74,83,4,1,6,0,0,0,17.666666666666668,147.22222222222223,20.75,6.72972972972973
04ab1575,S Ivetic,T20,14,14,417,446,30,13,10,1,6,5,0,0,12,0,0,0,41.7,93.49775784753363,,5.0
04bc296f,D Sabir,T20,36,22,240,213,19,6,17,23,379,363,32,1,18,5,0,4,14.117647058823529,112.67605633802818,11.34375,5.746701846965699
04cf2e94,A Morris,T20,24,12,30,70,2,0,4,24,523,513,30,4,2,0,0,1,7.5,42.857142857142854,17.1,5.885277246653919
04df9697,JAM Henri,T20,15,6,44,38,2,1,5,15,294,396,15,0,4,1,0,0,8.8,115.78947368421053,26.4,8.081632653061224
04e0cdec,R Lutaaya,T20,27,24,371,298,42,9,25,0,0,0,0,0,4,0,0,0,14.84,124.496644295302,,
04ed04d2,Ali Zaheer,T20,8,7,95,99,8,1,5,0,0,0,0,0,4,0,0,0,19.0,95.95959595959596,,
04f0d409,S Pradhan,T20,27,26,367,429,41,4,25,25,431,492,23,1,4,0,0,1,14.68,85.54778554778555,21.391304347826086,6.849187935034803
050bdc77,Azin Rafeeg,T20,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,33.33333333333333,,
052b014c,D Asghar,T20,2,2,16,16,1,1,2,0,0,0,0,0,0,0,0,0,8.0,100.0,,
053f3ce3,D Ravu,T20,22,9,26,37,4,0,6,21,380,475,24,0,5,1,0,1,4.333333333333333,70.27027027027027,19.791666666666668,7.5
0544b8a9,SMHH Aung,T20,1,1,0,1,0,0,1,1,6,17,1,0,0,0,0,0,0.0,0.0,17.0,17.0
054bf55d,SI de Saram,T20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
056b433b,Ishtiaq Ahmad,T20,43,12,57,41,1,6,8,41,878,1000,62,3,17,4,0,2,7.125,139.02439024390242,16.129032258064516,6.833712984054669
056e3558,A Augastin,T20,14,13,315,276,35,8,10,8,128,114,8,4,6,1,1,1,31.5,114.13043478260869,14.25,5.34375
056f58dd,KC Hodsoll,T20,1,0,0,0,0,0,0,1,18,19,2,0,1,0,0,0,,,9.5,6.333333333333333
059ec7a5,B Kgosiemang,T20,26,7,21,45,1,0,1,25,411,516,19,0,6,2,0,0,21.0,46.666666666666664,27.157894736842106,7.532846715328467
05b1aef8,NG Smith,T20,2,1,2,4,0,0,0,2,30,47,3,0,1,1,0,0,,50.0,15.666666666666666,9.4
05c2ca46,RE van der Merwe,T20,67,42,532,428,40,15,26,66,1267,1386,72,0,27,4,0,7,20.46153846153846,124.29906542056075,19.25,6.5635359116022105
05cf8905,Shakerullah Safi,T20,4,1,0,1,0,0,0,2,18,25,0,0,0,0,0,0,,0.0,,8.333333333333334
05d74535,Saeed Ajmal,T20,64,19,91,91,7,2,11,63,1430,1516,85,1,10,8,0,1,8.272727272727273,100.0,17.83529411764706,6.360839160839161
05de1a5a,GC Wilson,T20,61,49,840,847,73,12,43,0,0,0,0,0,31,2,7,1,19.53488372093023,99.17355371900827,,
05e0fab5,CS Martin,T20,6,1,5,6,0,0,0,6,138,193,7,1,1,1,0,0,,83.33333333333334,27.571428571428573,8.391304347826088
05ea0342,J Dzulfikar,T20,18,16,136,185,14,2,13,7,101,68,6,3,4,2,0,1,10.461538461538462,73.51351351351352,11.333333333333334,4.03960396039604
05f96194,MA Jones,T20,15,15,366,272,34,17,14,0,0,0,0,0,10,1,0,0,26.142857142857142,134.55882352941177,,
0605de92,HD Rutherford,T20,8,7,151,107,12,9,7,0,0,0,0,0,1,0,0,1,21.571428571428573,141.12149532710282,,
063d0e83,B Jaye,T20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
068c47d2,JJ Davidson,T20,6,2,7,10,0,0,0,6,126,168,9,0,1,0,0,0,,70.0,18.666666666666668,8.0
06907633,AR Nair,T20,3,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0.5,33.33333333333333,,
0697b5a1,NN Banner,T20,12,9,46,75,1,1,5,11,216,254,10,1,3,0,0,0,9.2,61.33333333333333,25.4,7.055555555555555
06989091,Javid Patel,T20,10,9,56,89,2,3,9,10,216,234,9,0,1,0,0,0,6.222222222222222,62.92134831460674,26.0,6.5
06adaa46,D Siva Kumar,T20,1,1,7,14,1,0,1,1,12,11,0,0,0,0,0,0,7.0,50.0,,5.5
06b387f1,Waseem Yaqoob,T20,13,12,151,208,13,4,12,13,240,318,22,1,0,3,0,1,12.583333333333334,72.59615384615384,14.454545454545455,7.95
06b45b20,A Venkatesh,T20,15,15,260,255,24,2,13,11,194,213,17,0,9,1,0,0,20.0,101.96078431372548,12.529411764705882,6.587628865979381
06b766f4,R Francis,T20,10,9,24,47,2,0,8,6,96,113,4,1,3,1,0,0,3.0,51.06382978723404,28.25,7.0625
06b8bdb3,AM Rajpurohit,T20,3,3,26,34,3,1,3,3,65,106,3,0,2,0,0,0,8.666666666666666,76.47058823529412,35.333333333333336,9.784615384615384
06bcade5,ASF Sirah,T20,27,20,257,222,26,8,17,25,490,539,36,0,7,4,0,3,15.117647058823529,115.76576576576576,14.972222222222221,6.6
06c2de82,L Gregory,T20,9,6,45,41,2,2,6,5,78,117,2,0,0,0,0,0,7.5,109.75609756097562,58.5,9.0
06cad4f0,A Sharafu,T20,64,62,1711,1335,164,72,55,1,1,3,0,0,29,0,0,5,31.10909090909091,128.16479400749063,,18.0
06da3abc,Jack Inglis,T20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
06fc82b8,T Musekiwa,T20,42,33,314,246,24,12,20,5,108,102,8,0,18,1,0,1,15.7,127.64227642276423,12.75,5.666666666666667
07160156,A Tripathi,T20,6,3,8,27,1,0,3,2,12,26,2,0,1,0,0,0,2.6666666666666665,29.629629629629626,13.0,13.0
0730a707,SI Kamea,T20,18,7,6,17,0,0,3,18,374,463,21,1,4,3,0,1,2.0,35.294117647058826,22.047619047619047,7.427807486631016
073126d6,LS Barkania,T20,18,4,14,25,0,0,1,18,348,283,24,2,6,0,0,1,14.0,56.00000000000001,11.791666666666666,4.879310344827586
073ef5a0,S Pokhriyal,T20,1,1,13,23,1,0,1,0,0,0,0,0,0,0,0,0,13.0,56.52173913043478,,
074acfb4,Asif Khan,T20,50,50,1197,901,76,76,41,1,6,3,0,0,6,1,0,1,29.195121951219512,132.85238623751388,,3.0
075a9439,Adeshlie Alias,T20,2,2,29,32,4,0,2,0,0,0,0,0,3,0,0,0,14.5,90.625,,
